	Gene Name	Protein name	Product Description	Evidence Ontology Term	GO Term
PA14_06810	norC	Nitric-oxide reductase subunit C	nitric-oxide reductase subunit C	match to InterPro signature evidence used in automatic assertion	electron carrier activity; heme binding; iron ion binding
PA14_06830	norB	Nitric-oxide reductase subunit B	nitric-oxide reductase subunit B	match to InterPro signature evidence used in automatic assertion	cytochrome-c oxidase activity; oxidation-reduction process; iron ion binding; electron carrier activity; aerobic respiration; integral component of membrane; heme binding
PA14_06870	dnr	Transcriptional regulator Dnr	transcriptional regulator Dnr	sequence similarity evidence used in automatic assertion	positive regulation of nitrogen compound metabolic process; positive regulation of oxidoreductase activity; response to nitric oxide; sequence-specific DNA binding transcription factor activity; intracellular; regulation of transcription, DNA-templated; DNA binding
PA14_06880	PA14_06880	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_06890	PA14_06890	Putative sulfurase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; molybdenum ion binding; pyridoxal phosphate binding
PA14_06920	argD	Class III pyridoxal phosphate-dependent aminotransferase	class III pyridoxal phosphate-dependent aminotransferase	match to InterPro signature evidence used in automatic assertion	transaminase activity; pyridoxal phosphate binding; catalytic activity
PA14_06950	PA14_06950	Putative transcriptional regulator, LuxR family	LuxR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	signal transducer activity; signal transduction; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; DNA binding
PA14_06960	PA14_06960	Putative oxidoreductase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
PA14_06970	PA14_06970	Putative transcriptional regulator, Cro/CI family	Cro/CI family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding
PA14_06980	PA14_06980				
PA14_06990	PA14_06990				
PA14_07000	dsbB1	protein disulfide oxidoreductase activity	DsbB1	match to InterPro signature evidence used in automatic assertion	protein disulfide oxidoreductase activity; membrane; protein-disulfide reductase activity
PA14_07010	PA14_07010	Putative membrane protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	membrane
PA14_07030	PA14_07030	Putative cytochrome c	cytochrome c'	match to InterPro signature evidence used in automatic assertion	iron ion binding; electron carrier activity; heme binding; electron transport chain; periplasmic space
PA14_07040	PA14_07040				
PA14_07070	PA14_07070	Putative reductase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	oxidation-reduction process; oxidoreductase activity
PA14_07090	metK	methionine adenosyltransferase activity	S-adenosylmethionine synthetase	match to InterPro signature evidence used in automatic assertion	methionine adenosyltransferase activity; ATP binding; S-adenosylmethionine biosynthetic process
PA14_07110	PA14_07110	Putative transcriptional regulator, ArsR family	ArsR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	metabolic process; methyltransferase activity; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_07130	tktA	Transketolase (EC 2.2.1.1)	transketolase	match to InterPro signature evidence used in automatic assertion	catalytic activity; transketolase activity; metabolic process
PA14_07150	PA14_07150				
PA14_07170	epd	D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.72)	D-erythrose 4-phosphate dehydrogenase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; oxidation-reduction process; cytoplasm; pyridoxal phosphate biosynthetic process; erythrose-4-phosphate dehydrogenase activity; NAD binding
PA14_07190	pgk	phosphoglycerate kinase activity	phosphoglycerate kinase	match to InterPro signature evidence used in automatic assertion	phosphoglycerate kinase activity; glycolytic process
PA14_07230	fda	Fructose-1,6-bisphosphate aldolase	fructose-1,6-bisphosphate aldolase	match to InterPro signature evidence used in automatic assertion	carbohydrate metabolic process; zinc ion binding; aldehyde-lyase activity; fructose-bisphosphate aldolase activity; glycolytic process; catalytic activity
PA14_07250	PA14_07250				
PA14_07260	PA14_07260	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	metabolic process; methyltransferase activity
PA14_07280	yhiN	Putative periplasmic protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	oxidation-reduction process
PA14_07310	PA14_07310	Putative hydrolase	hydrolase	match to InterPro signature evidence used in automatic assertion	metabolic process; hydrolase activity
PA14_07330	PA14_07330	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	integral component of membrane
PA14_07340	PA14_07340	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	regulation of transcription, DNA-templated; DNA binding; sequence-specific DNA binding transcription factor activity; sequence-specific DNA binding
PA14_07355	PA14_07355	Alkyl hydroperoxide reductase AhpD (EC 1.11.1.15)	hypothetical protein	match to InterPro signature evidence used in automatic assertion	peroxiredoxin activity; oxidation-reduction process
PA14_07370	PA14_07370	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	integral component of membrane
PA14_07380	PA14_07380				
PA14_07410	PA14_07410				
PA14_07430	PA14_07430				
PA14_07480	PA14_07480	Putative reverse transcriptase	reverse transcriptase	match to InterPro signature evidence used in automatic assertion	nucleic acid binding; endonuclease activity
PA14_07500	PA14_07500	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	signal transducer activity; signal transduction; protein binding; transporter activity; transport; phosphorelay sensor kinase activity; phosphorelay signal transduction system
PA14_07520	rpoD	RNA polymerase sigma factor RpoD (Sigma-70)	RNA polymerase sigma factor RpoD	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; DNA-templated transcription, initiation; regulation of transcription, DNA-templated; sigma factor activity
PA14_07530	dnaG	DNA primase (EC 2.7.7.-)	DNA primase	match to InterPro signature evidence used in automatic assertion	DNA binding; DNA primase activity; DNA replication; zinc ion binding; nucleotidyltransferase activity; DNA replication, synthesis of RNA primer
PA14_07550	PA14_07550	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
PA14_07560	rpsU	intracellular	30S ribosomal protein S21	match to InterPro signature evidence used in automatic assertion	intracellular; structural constituent of ribosome; ribosome; translation
PA14_07570	gcp	metalloendopeptidase activity	DNA-binding/iron metalloprotein/AP endonuclease	match to InterPro signature evidence used in automatic assertion	metalloendopeptidase activity; threonylcarbamoyladenosine biosynthetic process
PA14_07580	PA14_07580	plasma membrane	glycerol-3-phosphate acyltransferase PlsY	match to InterPro signature evidence used in automatic assertion	plasma membrane; phospholipid biosynthetic process; acyl-phosphate glycerol-3-phosphate acyltransferase activity
PA14_07590	folB	7,8-dihydroneopterin aldolase (EC 4.1.2.25)	dihydroneopterin aldolase	match to InterPro signature evidence used in automatic assertion	dihydroneopterin aldolase activity; folic acid-containing compound metabolic process
PA14_07600	folk	Putative 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	match to InterPro signature evidence used in automatic assertion	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity; folic acid-containing compound biosynthetic process
PA14_07620	cca	tRNA 3'-terminal CCA addition	multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase	match to InterPro signature evidence used in automatic assertion	tRNA 3'-terminal CCA addition; RNA binding; tRNA adenylyltransferase activity; ATP binding; RNA processing; nucleotidyltransferase activity
PA14_07650	PA14_07650				
PA14_07660	PA14_07660				
PA14_07680	prkA	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein kinase activity
PA14_07690	glpE	thiosulfate sulfurtransferase activity	thiosulfate sulfurtransferase	match to InterPro signature evidence used in automatic assertion	thiosulfate sulfurtransferase activity; cytoplasm
PA14_07700	apaH	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity	diadenosine tetraphosphatase	match to InterPro signature evidence used in automatic assertion	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity; hydrolase activity
PA14_07710	PA14_07710				
PA14_07730	ksgA	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	dimethyladenosine transferase	match to InterPro signature evidence used in automatic assertion	rRNA (adenine-N6,N6-)-dimethyltransferase activity; rRNA modification; rRNA methyltransferase activity; rRNA processing; rRNA (adenine) methyltransferase activity
PA14_07740	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	4-hydroxythreonine-4-phosphate dehydrogenase	match to InterPro signature evidence used in automatic assertion	pyridoxine biosynthetic process; 4-hydroxythreonine-4-phosphate dehydrogenase activity; NAD binding; oxidation-reduction process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
PA14_07760	surA	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (Rotamase SurA)	peptidyl-prolyl cis-trans isomerase SurA	match to InterPro signature evidence used in automatic assertion	peptidyl-prolyl cis-trans isomerase activity; protein folding; outer membrane-bounded periplasmic space; peptide binding; biofilm formation; Gram-negative-bacterium-type cell outer membrane assembly; protein stabilization; unfolded protein binding; chaperone mediated protein folding requiring cofactor; maintenance of stationary phase; isomerase activity
PA14_07770	ostA	cell outer membrane	organic solvent tolerance protein OstA	match to InterPro signature evidence used in automatic assertion	cell outer membrane; response to organic substance; lipopolysaccharide transport; Gram-negative-bacterium-type cell outer membrane assembly; outer membrane; membrane organization
PA14_07780	PA14_07780	Putative phosphotransferase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	transferase activity, transferring phosphorus-containing groups
PA14_07790	PA14_07790	Putative nucleotidyltransferase	nucleotidyl transferase	match to InterPro signature evidence used in automatic assertion	biosynthetic process; nucleotidyltransferase activity
PA14_07810	PA14_07810				
PA14_07820	PA14_07820	Putative histidine kinase	histidine kinase	match to InterPro signature evidence used in automatic assertion	phosphorelay sensor kinase activity; phosphorelay signal transduction system; transporter activity; transport; signal transducer activity; signal transduction; protein binding; phosphorylation; transferase activity, transferring phosphorus-containing groups; membrane; integral component of membrane; protein dimerization activity
PA14_07840	uhpA	Putative two-component response regulator	two-component response regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; phosphorelay signal transduction system; DNA binding
PA14_07850	PA14_07850				
PA14_07860	PA14_07860	Polyamine-transporting ATPase (EC 3.6.3.31)	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	polyamine-transporting ATPase activity; polyamine transport; ATP-binding cassette (ABC) transporter complex; ATP binding; ATPase activity; transporter activity; transport; hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances
PA14_07870	PA14_07870				
PA14_07890	PA14_07890	Putative permease of ABC transporter	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transport; membrane
PA14_07900	PA14_07900	Putative permease of ABC transporter	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transport; membrane
PA14_07910	rpe	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	ribulose-phosphate 3-epimerase	match to InterPro signature evidence used in automatic assertion	carbohydrate metabolic process; racemase and epimerase activity, acting on carbohydrates and derivatives; catalytic activity; metabolic process; ribulose-phosphate 3-epimerase activity; pentose-phosphate shunt
PA14_07930	gph	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)	phosphoglycolate phosphatase	match to InterPro signature evidence used in automatic assertion	metabolic process; hydrolase activity; phosphoglycolate phosphatase activity; glycolate biosynthetic process
PA14_07940	trpE	Anthranilate synthetase component I	anthranilate synthase component I	sequence similarity evidence used in automatic assertion	anthranilate synthase activity; tryptophan biosynthetic process; biosynthetic process; oxo-acid-lyase activity
PA14_07950	prtN	Transcriptional regulator PrtN	transcriptional regulator PrtN	match to InterPro signature evidence used in automatic assertion	regulation of transcription, DNA-templated
PA14_07960	prtR	Transcriptional regulator PrtR	transcriptional regulator PrtR	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding
PA14_07970	PA14_07970	Putative zinc finger protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	zinc ion binding
PA14_08020	gpW	Putative baseplate assembly protein W	bacteriophage protein	match to InterPro signature evidence used in automatic assertion	copper ion binding; amine metabolic process; quinone binding
PA14_08160	lys	Putative lytic enzyme	lytic enzyme	match to InterPro signature evidence used in automatic assertion	chitinase activity; chitin catabolic process; cell wall macromolecule catabolic process
PA14_08270	PA14_08270	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein binding
PA14_08300	JF1	Putative phage-related protein, tail component	phage-related protein, tail component	match to InterPro signature evidence used in automatic assertion	protein binding
PA14_08340	trpG	Anthranilate synthase component II	anthranilate synthase component II	sequence similarity evidence used in automatic assertion	anthranilate synthase activity; tryptophan biosynthetic process; metabolic process
PA14_08350	trpD	tryptophan biosynthetic process	anthranilate phosphoribosyltransferase	match to InterPro signature evidence used in automatic assertion	tryptophan biosynthetic process; anthranilate phosphoribosyltransferase activity; metabolic process; transferase activity, transferring glycosyl groups
PA14_08360	trpC	indole-3-glycerol-phosphate synthase activity	indole-3-glycerol-phosphate synthase	match to InterPro signature evidence used in automatic assertion	indole-3-glycerol-phosphate synthase activity; catalytic activity; metabolic process; tryptophan metabolic process
PA14_08370	vfr	Cyclic AMP receptor-like protein	cAMP-regulatory protein	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; intracellular; regulation of transcription, DNA-templated; DNA binding
PA14_08380	PA14_08380	Putative redox protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	response to oxidative stress
PA14_08390	speD	adenosylmethionine decarboxylase activity	S-adenosylmethionine decarboxylase	match to InterPro signature evidence used in automatic assertion	adenosylmethionine decarboxylase activity; spermidine biosynthetic process
PA14_08400	PA14_08400	ubiquinone biosynthetic process	hypothetical protein	match to InterPro signature evidence used in automatic assertion	ubiquinone biosynthetic process; protein metabolic process; oxidation-reduction process
PA14_08420	PA14_08420	Putative HIT family protein	HIT family protein	match to InterPro signature evidence used in automatic assertion	catalytic activity
PA14_08430	PA14_08430	Putative ATPase associated with various cellular activities	ATPase	match to InterPro signature evidence used in automatic assertion	ATP binding
PA14_08440	PA14_08440	Putative short chain alcohol dehydrogenase	short chain alcohol dehydrogenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity
PA14_08450	PA14_08450	Putative membrane protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	integral component of membrane
PA14_08460	PA14_08460	Putative 2-nitropropane dioxygenase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	nitronate monooxygenase activity; oxidation-reduction process; catalytic activity
PA14_08480	argC	N-acetyl-gamma-glutamyl-phosphate reductase activity	N-acetyl-gamma-glutamyl-phosphate reductase	match to InterPro signature evidence used in automatic assertion	N-acetyl-gamma-glutamyl-phosphate reductase activity; cytoplasm; cellular amino acid biosynthetic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; protein dimerization activity; oxidation-reduction process; arginine biosynthetic process; NAD binding
PA14_08510	PA14_08510	structural molecule activity	iron-sulfur cluster insertion protein ErpA	match to InterPro signature evidence used in automatic assertion	structural molecule activity; iron-sulfur cluster assembly; iron-sulfur cluster binding
PA14_08520	anmK	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anhydro-N-acetylmuramic acid kinase	match to InterPro signature evidence used in automatic assertion	ATP binding; amino sugar metabolic process; peptidoglycan turnover; phosphotransferase activity, alcohol group as acceptor
PA14_08560	tyrZ	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase)	tyrosyl-tRNA synthetase	match to InterPro signature evidence used in automatic assertion	RNA binding; nucleotide binding; tyrosine-tRNA ligase activity; ATP binding; cytoplasm; tyrosyl-tRNA aminoacylation; aminoacyl-tRNA ligase activity; tRNA aminoacylation for protein translation
PA14_08620	birA	Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)	biotin--protein ligase	match to InterPro signature evidence used in automatic assertion	biotin-[acetyl-CoA-carboxylase] ligase activity; cellular protein modification process
PA14_08630	PA14_08630	pantothenate kinase activity	pantothenate kinase	match to InterPro signature evidence used in automatic assertion	pantothenate kinase activity
PA14_08640	PA14_08640				
PA14_08680	tufB	GTP binding	elongation factor Tu	match to InterPro signature evidence used in automatic assertion	GTP binding; translation elongation factor activity; intracellular; translational elongation; GTPase activity
PA14_08695	secE	Protein translocase subunit SecE	preprotein translocase subunit SecE	match to InterPro signature evidence used in automatic assertion	protein secretion; P-P-bond-hydrolysis-driven protein transmembrane transporter activity; integral component of membrane; protein targeting; intracellular protein transport; membrane
PA14_08710	nusG	Transcription termination/antitermination protein NusG	transcription antitermination protein NusG	match to InterPro signature evidence used in automatic assertion	regulation of transcription, DNA-templated; regulation of DNA-templated transcription, elongation
PA14_08720	rplK	structural constituent of ribosome	50S ribosomal protein L11	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation
PA14_08730	rplA	RNA binding	50S ribosomal protein L1	match to InterPro signature evidence used in automatic assertion	RNA binding; structural constituent of ribosome; translation; large ribosomal subunit
PA14_08740	rplJ	structural constituent of ribosome	50S ribosomal protein L10	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation; ribosome biogenesis
PA14_08750	rplL	structural constituent of ribosome	50S ribosomal protein L7/L12	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation
PA14_08760	rpoB	DNA-directed RNA polymerase activity	DNA-directed RNA polymerase subunit beta	match to InterPro signature evidence used in automatic assertion	DNA-directed RNA polymerase activity; transcription, DNA-templated; DNA binding
PA14_08780	rpoC	DNA binding	DNA-directed RNA polymerase subunit beta'	match to InterPro signature evidence used in automatic assertion	DNA binding; DNA-directed RNA polymerase activity; transcription, DNA-templated
PA14_08790	rpsL	structural constituent of ribosome	30S ribosomal protein S12	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation; small ribosomal subunit
PA14_08810	rpsG	translation	30S ribosomal protein S7	match to InterPro signature evidence used in automatic assertion	translation; structural constituent of ribosome; small ribosomal subunit; RNA binding
PA14_08820	fusA1	Elongation factor G (EF-G)	elongation factor G	match to InterPro signature evidence used in automatic assertion	GTP binding; translation elongation factor activity; intracellular; translational elongation; GTPase activity
PA14_08830	tufA	GTP binding	elongation factor Tu	match to InterPro signature evidence used in automatic assertion	GTP binding; translation elongation factor activity; intracellular; translational elongation; GTPase activity
PA14_08840	rpsJ	structural constituent of ribosome	30S ribosomal protein S10	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation; RNA binding; intracellular
PA14_08850	rplC	structural constituent of ribosome	50S ribosomal protein L3	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation
PA14_08860	rplD	structural constituent of ribosome	50S ribosomal protein L4	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation
PA14_08870	rplW	structural constituent of ribosome	50S ribosomal protein L23	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation; intracellular; nucleotide binding
PA14_08880	rplB	structural constituent of ribosome	50S ribosomal protein L2	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation; intracellular; large ribosomal subunit; RNA binding; transferase activity
PA14_08890	rpsS	structural constituent of ribosome	30S ribosomal protein S19	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation; RNA binding; small ribosomal subunit
PA14_08900	rplV	structural constituent of ribosome	50S ribosomal protein L22	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation; large ribosomal subunit; intracellular
PA14_08910	rpsC	structural constituent of ribosome	30S ribosomal protein S3	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation; RNA binding; intracellular; small ribosomal subunit
PA14_08920	rplP	structural constituent of ribosome	50S ribosomal protein L16	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; translation; rRNA binding; ribosome; intracellular
PA14_08930	rpmC	structural constituent of ribosome	50S ribosomal protein L29	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation
PA14_08940	rpsQ	structural constituent of ribosome	30S ribosomal protein S17	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation
PA14_08950	rplN	structural constituent of ribosome	50S ribosomal protein L14	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; translation; large ribosomal subunit; ribosome
PA14_08960	rplX	structural constituent of ribosome	50S ribosomal protein L24	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation
PA14_08970	rplE	intracellular	50S ribosomal protein L5	match to InterPro signature evidence used in automatic assertion	intracellular; structural constituent of ribosome; ribosome; translation
PA14_08980	rpsN	structural constituent of ribosome	30S ribosomal protein S14	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation; intracellular
PA14_08990	rpsH	structural constituent of ribosome	30S ribosomal protein S8	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation
PA14_09000	rplF	structural constituent of ribosome	50S ribosomal protein L6	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation; rRNA binding; intracellular
PA14_09010	rplR	structural constituent of ribosome	50S ribosomal protein L18	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation
PA14_09020	rpsE	RNA binding	30S ribosomal protein S5	match to InterPro signature evidence used in automatic assertion	RNA binding; structural constituent of ribosome; ribosome; translation; small ribosomal subunit
PA14_09030	rpmD	structural constituent of ribosome	50S ribosomal protein L30	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; translation; large ribosomal subunit
PA14_09040	rplO	structural constituent of ribosome	50S ribosomal protein L15	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation; large ribosomal subunit
PA14_09050	secY	Protein translocase subunit SecY	preprotein translocase subunit SecY	match to InterPro signature evidence used in automatic assertion	protein transport; membrane
PA14_09070	rpmJ	structural constituent of ribosome	50S ribosomal protein L36	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation
PA14_09080	rpsM	RNA binding	30S ribosomal protein S13	match to InterPro signature evidence used in automatic assertion	RNA binding; structural constituent of ribosome; intracellular; ribosome; translation; nucleic acid binding
PA14_09090	rpsK	structural constituent of ribosome	30S ribosomal protein S11	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation; intracellular
PA14_09100	rpsD	intracellular	30S ribosomal protein S4	match to InterPro signature evidence used in automatic assertion	intracellular; rRNA binding; structural constituent of ribosome; translation; small ribosomal subunit; RNA binding
PA14_09115	rpoA	DNA-directed RNA polymerase activity	DNA-directed RNA polymerase subunit alpha	match to InterPro signature evidence used in automatic assertion	DNA-directed RNA polymerase activity; transcription, DNA-templated; protein dimerization activity; DNA binding
PA14_09130	rplQ	structural constituent of ribosome	50S ribosomal protein L17	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation
PA14_09150	katA	Catalase (EC 1.11.1.6)	catalase	match to InterPro signature evidence used in automatic assertion	catalase activity; heme binding; oxidation-reduction process; response to oxidative stress
PA14_09160	bfrA	Bacterioferritin (EC 1.16.3.1)	bacterioferritin	sequence similarity evidence used in automatic assertion	iron ion transport; intracellular sequestering of iron ion; cellular iron ion homeostasis; ferric iron binding
PA14_09180	uvrA	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	excinuclease ABC subunit A	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity; nucleotide-excision repair; excinuclease repair complex; excinuclease ABC activity; catalytic activity
PA14_09195	yajR	Probable major facilitator superfamily (MFS) transporter	major facilitator transporter	match to InterPro signature evidence used in automatic assertion	integral component of membrane; transmembrane transport
PA14_09200	ssb	Single-stranded DNA-binding protein (SSB)	single-stranded DNA-binding protein	match to InterPro signature evidence used in automatic assertion	single-stranded DNA binding; DNA replication
PA14_09210	pchA	Salicylate biosynthesis isochorismate synthase	salicylate biosynthesis isochorismate synthase	sequence similarity evidence used in automatic assertion	salicylic acid biosynthetic process; isochorismate synthase activity; biosynthetic process
PA14_09220	pchB	Salicylate biosynthesis protein PchB	isochorismate-pyruvate lyase	match to InterPro signature evidence used in automatic assertion	chorismate metabolic process
PA14_09230	pchC	Pyochelin biosynthetic protein PchC	pyochelin biosynthetic protein PchC	sequence similarity evidence used in automatic assertion	pyochelin biosynthetic process; biosynthetic process; hydrolase activity, acting on ester bonds
PA14_09240	pchD	Pyochelin biosynthesis protein PchD	pyochelin biosynthesis protein PchD	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process
PA14_09260	pchR	Transcriptional regulator PchR	transcriptional regulator PchR	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding
PA14_09270	pchE	Pyochelin synthetase	dihydroaeruginoic acid synthetase	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process
PA14_09280	pchF	Pyochelin synthetase PchF	pyochelin synthetase	match to InterPro signature evidence used in automatic assertion	biosynthetic process; hydrolase activity, acting on ester bonds; catalytic activity; metabolic process
PA14_09290	pchG	Pyochelin biosynthetic protein PchG	pyochelin biosynthetic protein PchG	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity
PA14_09300	pchH	Putative ATP-binding component of ABC transporter	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity; transport; integral component of membrane; ATPase activity, coupled to transmembrane movement of substances; transmembrane transport
PA14_09320	pchI	Putative ATP-binding component of ABC transporter	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity; transport; integral component of membrane; ATPase activity, coupled to transmembrane movement of substances; transmembrane transport
PA14_09340	fptA	Fe(III)-pyochelin outer membrane receptor	Fe(III)-pyochelin outer membrane receptor	match to InterPro signature evidence used in automatic assertion	receptor activity; transporter activity; transport; membrane; iron ion binding; siderophore transmembrane transporter activity; siderophore transport
PA14_09380	PA14_09380	Putative transporter	transporter	match to InterPro signature evidence used in automatic assertion	integral component of membrane; transmembrane transport
PA14_09400	phzS	Flavin-containing monooxygenase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity
PA14_09410	phzG1	Probable pyrodoxamine 5'-phosphate oxidase	pyrodoxamine 5'-phosphate oxidase	sequence similarity evidence used in automatic assertion	phenazine biosynthetic process; pyridoxamine-phosphate oxidase activity; pyridoxine biosynthetic process; oxidation-reduction process; oxidoreductase activity, acting on the CH-NH2 group of donors; FMN binding; oxidoreductase activity
PA14_09420	phzF1	Probable phenazine biosynthesis protein	phenazine biosynthesis protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; biosynthetic process
PA14_09440	phzE1	Phenazine biosynthesis protein PhzE	phenazine biosynthesis protein PhzE	match to InterPro signature evidence used in automatic assertion	biosynthetic process
PA14_09450	phzD1	Phenazine biosynthesis protein PhzD	phenazine biosynthesis protein PhzD	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process; isochorismatase activity
